                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     105158 |     106465 |     106608 |     106720 |     105437 |     103385 |     105426 |     106049 |     106494 |     104329 |     106577 |     105863 |     106916 |     106591 |     107288 |     106220
  Cycles                             |    3552639 |    3552639 |    3552639 |    3552639 |    3552639 |    3552639 |    3552639 |    3552639 |    3552639 |    3552639 |    3552639 |    3552639 |    3552639 |    3552639 |    3552639 |    3552639
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    1335579 |    1335579 |    1335579 |    1335579 |    1335579 |    1335579 |    1335579 |    1335579 |    1335579 |    1335579 |    1335579 |    1335579 |    1335579 |    1335579 |    1335579 |    1335579
  Idle time (ns)                     |    1206477 |    1205450 |    1201081 |    1206143 |    1209964 |    1226752 |    1209467 |    1212698 |    1200786 |    1226518 |    1205682 |    1198893 |    1208444 |    1207326 |    1204720 |    1207131
  Idle time (%)                      |      90.3% |      90.3% |      89.9% |      90.3% |      90.6% |      91.9% |      90.6% |      90.8% |      89.9% |      91.8% |      90.3% |      89.8% |      90.5% |      90.4% |      90.2% |      90.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10917 |      10956 |      10907 |      10956 |      10903 |      10904 |      10932 |      10991 |      10980 |      11044 |      10957 |      10909 |      10933 |      10925 |      10931 |      10912
  num incorrect                      |        870 |        883 |        933 |        904 |        890 |        747 |        841 |        859 |        894 |        701 |        896 |        893 |        933 |        925 |        963 |        898
  misprediction rate                 |      7.38% |      7.46% |      7.88% |      7.62% |      7.55% |      6.41% |      7.14% |      7.25% |      7.53% |      5.97% |      7.56% |      7.57% |      7.86% |      7.81% |      8.10% |      7.60%
  mpki                               |       8.27 |       8.29 |       8.75 |       8.47 |       8.44 |       7.23 |       7.98 |       8.10 |       8.39 |       6.72 |       8.41 |       8.44 |       8.73 |       8.68 |       8.98 |       8.45
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18437 |      18640 |      18659 |      18662 |      18495 |      18263 |      18502 |      18549 |      18610 |      18338 |      18641 |      18563 |      18696 |      18642 |      18738 |      18618
    num cache misses                 |         24 |         24 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         24
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.13% |      0.14% |      0.14% |      0.14% |      0.13% |      0.13% |      0.14% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23 |       0.24 |       0.24 |       0.24 |       0.24 |       0.23 |       0.24 |       0.23 |       0.24 |       0.23 |       0.23 |       0.23 |       0.23
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      55102 |      55697 |      55774 |      55794 |      55249 |      54413 |      55269 |      55462 |      55665 |      54728 |      55732 |      55435 |      55898 |      55729 |      56044 |      55602
    num cache misses                 |       4155 |       4260 |       4239 |       4111 |       3989 |       3402 |       4030 |       3953 |       4285 |       3443 |       4215 |       4346 |       3956 |       4047 |       4180 |       3990
    miss rate                        |      7.54% |      7.65% |      7.60% |      7.37% |      7.22% |      6.25% |      7.29% |      7.13% |      7.70% |      6.29% |      7.56% |      7.84% |      7.08% |      7.26% |      7.46% |      7.18%
    mpki                             |      39.51 |      40.01 |      39.76 |      38.52 |      37.83 |      32.91 |      38.23 |      37.28 |      40.24 |      33.00 |      39.55 |      41.05 |      37.00 |      37.97 |      38.96 |      37.56
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5357 |       5489 |       5488 |       5296 |       5125 |       4382 |       5193 |       5078 |       5547 |       4448 |       5460 |       5703 |       5137 |       5285 |       5350 |       5161
    num cache misses                 |       4193 |       4304 |       4309 |       4173 |       4051 |       3459 |       4119 |       4036 |       4326 |       3506 |       4294 |       4428 |       4042 |       4127 |       4272 |       4080
    miss rate                        |     78.27% |     78.41% |     78.52% |     78.80% |     79.04% |     78.94% |     79.32% |     79.48% |     77.99% |     78.82% |     78.64% |     77.64% |     78.68% |     78.09% |     79.85% |     79.05%
    mpki                             |      39.87 |      40.43 |      40.42 |      39.10 |      38.42 |      33.46 |      39.07 |      38.06 |      40.62 |      33.61 |      40.29 |      41.83 |      37.81 |      38.72 |      39.82 |      38.41
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       5357 |       5489 |       5488 |       5296 |       5125 |       4382 |       5193 |       5078 |       5547 |       4448 |       5460 |       5703 |       5137 |       5285 |       5350 |       5161
    num cache misses                 |       2437 |       2512 |       2541 |       2562 |       2343 |       2106 |       2416 |       2445 |       2283 |       2135 |       2524 |       2580 |       2223 |       2419 |       2400 |       2412
    miss rate                        |     45.49% |     45.76% |     46.30% |     48.38% |     45.72% |     48.06% |     46.52% |     48.15% |     41.16% |     48.00% |     46.23% |     45.24% |     43.27% |     45.77% |     44.86% |     46.74%
    mpki                             |      23.17 |      23.59 |      23.83 |      24.01 |      22.22 |      20.37 |      22.92 |      23.06 |      21.44 |      20.46 |      23.68 |      24.37 |      20.79 |      22.69 |      22.37 |      22.71
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        130 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     286.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     233.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          7 |          7 |          6 |          4 |          7 |          7 |          6 |          5 |          6 |          5 |          5 |          4 |          5 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1517 |       1568 |       1566 |       1587 |       1415 |       1258 |       1454 |       1474 |       1465 |       1268 |       1537 |       1585 |       1369 |       1479 |       1458 |       1490
