                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     359217 |     428146 |     531429 |     558672 |     348045 |     463714 |     452093 |     463417
  Cycles                             |     700396 |     700396 |     700396 |     700396 |     700396 |     700396 |     700396 |     700396
  IPC                                |       0.51 |       0.61 |       0.76 |       0.80 |       0.50 |       0.66 |       0.65 |       0.66
  Time (ns)                          |     263307 |     263307 |     263307 |     263307 |     263307 |     263307 |     263307 |     263307
  Idle time (ns)                     |     105101 |     106128 |     100595 |     102472 |     136367 |     116805 |     122819 |     125390
  Idle time (%)                      |      39.9% |      40.3% |      38.2% |      38.9% |      51.8% |      44.4% |      46.6% |      47.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      76312 |      93574 |     119363 |     126269 |      73659 |     102459 |      99511 |     102476
  num incorrect                      |        484 |        453 |        495 |        403 |        346 |        466 |        494 |        374
  misprediction rate                 |      0.63% |      0.48% |      0.41% |      0.32% |      0.47% |      0.45% |      0.49% |      0.36%
  mpki                               |       1.35 |       1.06 |       0.93 |       0.72 |       0.99 |       1.00 |       1.09 |       0.81
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     156558 |     191014 |     242687 |     256330 |     150992 |     208825 |     202970 |     208670
    num cache misses                 |         16 |         16 |         15 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04 |       0.03 |       0.03 |       0.05 |       0.03 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     188628 |     223098 |     274744 |     288374 |     183042 |     240882 |     235054 |     240739
    num cache misses                 |       6775 |       7124 |       7979 |       8149 |       5395 |       6319 |       6196 |       5971
    miss rate                        |      3.59% |      3.19% |      2.90% |      2.83% |      2.95% |      2.62% |      2.64% |      2.48%
    mpki                             |      18.86 |      16.64 |      15.01 |      14.59 |      15.50 |      13.63 |      13.71 |      12.88
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       7813 |       7885 |       8584 |       8871 |       6326 |       7190 |       7010 |       6863
    num cache misses                 |       2548 |       2003 |       1219 |       1131 |       1563 |       1352 |       1285 |       1096
    miss rate                        |     32.61% |     25.40% |     14.20% |     12.75% |     24.71% |     18.80% |     18.33% |     15.97%
    mpki                             |       7.09 |       4.68 |       2.29 |       2.02 |       4.49 |       2.92 |       2.84 |       2.37
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3140 |       2440 |       1432 |       1469 |       2469 |       2087 |       2013 |       1913
    num cache misses                 |         18 |          8 |          5 |          7 |          8 |         14 |          5 |          8
    miss rate                        |      0.57% |      0.33% |      0.35% |      0.48% |      0.32% |      0.67% |      0.25% |      0.42%
    mpki                             |       0.05 |       0.02 |       0.01 |       0.01 |       0.02 |       0.03 |       0.01 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     150.29 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      96.86 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          5 |          4 |          5 |          4 |          7 |          5 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
