                                     | Core 0     | Core 1    
  Instructions                       |     487041 |     491081
  Cycles                             |     679672 |     679672
  IPC                                |       0.72 |       0.72
  Time (ns)                          |     255516 |     255516
  Idle time (ns)                     |     100366 |      99103
  Idle time (%)                      |      39.3% |      38.8%
Branch predictor stats               |            |           
  num correct                        |      88421 |      89420
  num incorrect                      |        340 |        358
  misprediction rate                 |      0.38% |      0.40%
  mpki                               |       0.70 |       0.73
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     180504 |     182536
    num cache misses                 |         15 |         14
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     275550 |     277578
    num cache misses                 |       1995 |       2182
    miss rate                        |      0.72% |      0.79%
    mpki                             |       4.10 |       4.44
  Cache L2                           |            |           
    num cache accesses               |       2872 |       2871
    num cache misses                 |         23 |          7
    miss rate                        |      0.80% |      0.24%
    mpki                             |       0.05 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         25 |         10
    num cache misses                 |         23 |          7
    miss rate                        |     92.00% |     70.00%
    mpki                             |       0.05 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      94.41 |        inf
  average dram queueing delay        |      40.98 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
