                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     223747 |     223784 |     221677 |     222044
  Cycles                             |    2540461 |    2540461 |    2540461 |    2540461
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     955061 |     955061 |     955061 |     955061
  Idle time (ns)                     |     812064 |     811883 |     815785 |     815328
  Idle time (%)                      |      85.0% |      85.0% |      85.4% |      85.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      19747 |      19664 |      19607 |      19687
  num incorrect                      |       1088 |       1192 |       1045 |       1017
  misprediction rate                 |      5.22% |      5.72% |      5.06% |      4.91%
  mpki                               |       4.86 |       5.33 |       4.71 |       4.58
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18709 |      18699 |      18472 |      18500
    num cache misses                 |         22 |         25 |         24 |         25
    miss rate                        |      0.12% |      0.13% |      0.13% |      0.14%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     136950 |     136945 |     136138 |     136250
    num cache misses                 |       2328 |       2348 |       2254 |       2216
    miss rate                        |      1.70% |      1.71% |      1.66% |      1.63%
    mpki                             |      10.40 |      10.49 |      10.17 |       9.98
  Cache L2                           |            |            |            |           
    num cache accesses               |       3060 |       3085 |       2998 |       2897
    num cache misses                 |         27 |         16 |         17 |         19
    miss rate                        |      0.88% |      0.52% |      0.57% |      0.66%
    mpki                             |       0.12 |       0.07 |       0.08 |       0.09
  Cache L3                           |            |            |            |           
    num cache accesses               |         29 |         19 |         20 |         22
    num cache misses                 |         27 |         16 |         17 |         19
    miss rate                        |     93.10% |     84.21% |     85.00% |     86.36%
    mpki                             |       0.12 |       0.07 |       0.08 |       0.09
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     130.54 |        inf |        inf |        inf
  average dram queueing delay        |      77.11 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          4 |          6 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
