                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4406691 |    3920315 |    4136880 |    3935834 |    3820009 |    4604515 |    3623827 |    2994414 |    3555454 |    3880594 |    4188089 |    4941370 |    4053595 |    4935924 |    4366908 |    3897294
  Cycles                             |   60467378 |   60467378 |   60467378 |   60467378 |   60467378 |   60467378 |   60467378 |   60467378 |   60467378 |   60467378 |   60467378 |   60467378 |   60467378 |   60467378 |   60467378 |   60467378
  IPC                                |       0.07 |       0.06 |       0.07 |       0.07 |       0.06 |       0.08 |       0.06 |       0.05 |       0.06 |       0.06 |       0.07 |       0.08 |       0.07 |       0.08 |       0.07 |       0.06
  Time (ns)                          |   22732097 |   22732097 |   22732097 |   22732097 |   22732097 |   22732097 |   22732097 |   22732097 |   22732097 |   22732097 |   22732097 |   22732097 |   22732097 |   22732097 |   22732097 |   22732097
  Idle time (ns)                     |     759241 |    2243117 |    1181009 |    2305430 |    3156928 |     388175 |    4350724 |    8938044 |    5070342 |    2781385 |    1262995 |     265545 |    1749048 |       3010 |     699183 |    2485144
  Idle time (%)                      |       3.3% |       9.9% |       5.2% |      10.1% |      13.9% |       1.7% |      19.1% |      39.3% |      22.3% |      12.2% |       5.6% |       1.2% |       7.7% |       0.0% |       3.1% |      10.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     713573 |     616266 |     659609 |     619403 |     596203 |     753102 |     557019 |     431162 |     543323 |     608358 |     669826 |     820490 |     642915 |     819390 |     705607 |     611693
  num incorrect                      |        171 |        209 |        179 |        178 |        213 |        215 |        158 |        135 |        182 |        175 |        206 |        196 |        216 |        206 |        186 |        180
  misprediction rate                 |      0.02% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.03% |      0.03% |      0.03%
  mpki                               |       0.04 |       0.05 |       0.04 |       0.05 |       0.06 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1433478 |    1238943 |    1325569 |    1245160 |    1198830 |    1512629 |    1120348 |     868592 |    1093008 |    1223064 |    1346062 |    1647365 |    1292255 |    1645183 |    1417580 |    1229744
    num cache misses                 |         16 |         17 |         17 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         17 |         17 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2766242 |    2474430 |    2604369 |    2483748 |    2414253 |    2884953 |    2296539 |    1918896 |    2255520 |    2450604 |    2635101 |    3087063 |    2554398 |    3083794 |    2742387 |    2460624
    num cache misses                 |     624363 |     472422 |     497017 |     476916 |     460205 |     529123 |     430377 |     314269 |     496881 |     455739 |     493262 |     517010 |     486803 |     531044 |     517058 |     465935
    miss rate                        |     22.57% |     19.09% |     19.08% |     19.20% |     19.06% |     18.34% |     18.74% |     16.38% |     22.03% |     18.60% |     18.72% |     16.75% |     19.06% |     17.22% |     18.85% |     18.94%
    mpki                             |     141.69 |     120.51 |     120.14 |     121.17 |     120.47 |     114.91 |     118.76 |     104.95 |     139.75 |     117.44 |     117.78 |     104.63 |     120.09 |     107.59 |     118.40 |     119.55
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     624421 |     472481 |     497077 |     476976 |     460266 |     529191 |     430429 |     314316 |     496939 |     455789 |     493330 |     517076 |     486876 |     531117 |     517116 |     465991
    num cache misses                 |     624379 |     472439 |     497034 |     476932 |     460221 |     529139 |     430393 |     314285 |     496897 |     455756 |     493278 |     517027 |     486820 |     531060 |     517074 |     465951
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |     141.69 |     120.51 |     120.15 |     121.18 |     120.48 |     114.92 |     118.77 |     104.96 |     139.76 |     117.44 |     117.78 |     104.63 |     120.10 |     107.59 |     118.41 |     119.56
