                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     624421 |     472481 |     497077 |     476976 |     460266 |     529191 |     430429 |     314316 |     496939 |     455789 |     493330 |     517076 |     486876 |     531117 |     517116 |     465991
    num cache misses                 |     239425 |     265533 |     277483 |     264824 |     255137 |     297888 |     235955 |     172104 |     178625 |     263541 |     280798 |     290152 |     275693 |     298118 |     290790 |     262754
    miss rate                        |     38.34% |     56.20% |     55.82% |     55.52% |     55.43% |     56.29% |     54.82% |     54.76% |     35.95% |     57.82% |     56.92% |     56.11% |     56.62% |     56.13% |     56.23% |     56.39%
    mpki                             |      54.33 |      67.73 |      67.08 |      67.29 |      66.79 |      64.69 |      65.11 |      57.48 |      50.24 |      67.91 |      67.05 |      58.72 |      68.01 |      60.40 |      66.59 |      67.42
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     221.78 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     168.35 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          5 |          3 |          3 |          3 |          3 |          4 |          3 |          3 |          3 |          3 |          4 |          4 |          4 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      95189 |     147634 |     151339 |     149391 |     147300 |     162495 |     139938 |     103952 |      77054 |     136787 |     140289 |     148798 |     147363 |     156512 |     158062 |     156064
