                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   42535760 |   39981848 |   43882611 |   39112223 |   44360986 |   44154298 |   42225778 |   44707616
  Cycles                             |   25748368 |   25748368 |   25748368 |   25748368 |   25748368 |   25748368 |   25748368 |   25748368
  IPC                                |       1.65 |       1.55 |       1.70 |       1.52 |       1.72 |       1.71 |       1.64 |       1.74
  Time (ns)                          |    9679838 |    9679838 |    9679838 |    9679838 |    9679838 |    9679838 |    9679838 |    9679838
  Idle time (ns)                     |     532983 |    1015059 |     278708 |    1177529 |     118063 |     168516 |     549819 |     100524
  Idle time (%)                      |       5.5% |      10.5% |       2.9% |      12.2% |       1.2% |       1.7% |       5.7% |       1.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10397429 |    9758988 |   10734160 |    9541599 |   10853645 |   10802060 |   10319897 |   10940320
  num incorrect                      |        990 |        954 |        981 |        942 |       1086 |        999 |       1032 |       1066
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20799762 |   19522791 |   21473211 |   19088003 |   21712381 |   21609037 |   20644777 |   21885685
    num cache misses                 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21524895 |   20247943 |   22198330 |   19813134 |   22437515 |   22334171 |   21369911 |   22610828
    num cache misses                 |       7159 |       7055 |       7792 |       7292 |      15900 |      15766 |      14928 |      14889
    miss rate                        |      0.03% |      0.03% |      0.04% |      0.04% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.17 |       0.18 |       0.18 |       0.19 |       0.36 |       0.36 |       0.35 |       0.33
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9167 |       8232 |       8996 |       8460 |      16832 |      16693 |      15860 |      15746
    num cache misses                 |       1047 |       1038 |       1029 |       1020 |       3816 |       2855 |       2236 |       1151
    miss rate                        |     11.42% |     12.61% |     11.44% |     12.06% |     22.67% |     17.10% |     14.10% |      7.31%
    mpki                             |       0.02 |       0.03 |       0.02 |       0.03 |       0.09 |       0.06 |       0.05 |       0.03
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3161 |       2298 |       2325 |       2284 |       3819 |       2858 |       2239 |       1154
    num cache misses                 |         23 |          7 |         11 |          7 |          9 |          8 |          7 |          9
    miss rate                        |      0.73% |      0.30% |      0.47% |      0.31% |      0.24% |      0.28% |      0.31% |      0.78%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     142.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      89.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          3 |          5 |          3 |          6 |          5 |          5 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
