                                     | Core 0     | Core 1    
  Instructions                       |     125347 |     127404
  Cycles                             |     328438 |     328438
  IPC                                |       0.38 |       0.39
  Time (ns)                          |     123473 |     123473
  Idle time (ns)                     |      98039 |      97704
  Idle time (%)                      |      79.4% |      79.1%
Branch predictor stats               |            |           
  num correct                        |      15680 |      16103
  num incorrect                      |        195 |        189
  misprediction rate                 |      1.23% |      1.16%
  mpki                               |       1.56 |       1.48
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      37740 |      38575
    num cache misses                 |         16 |         16
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.13 |       0.13
  Cache L1-D                         |            |           
    num cache accesses               |      78635 |      79882
    num cache misses                 |       3187 |       3210
    miss rate                        |      4.05% |      4.02%
    mpki                             |      25.43 |      25.20
  Cache L2                           |            |           
    num cache accesses               |       3295 |       3298
    num cache misses                 |         25 |          7
    miss rate                        |      0.76% |      0.21%
    mpki                             |       0.20 |       0.05
  Cache L3                           |            |           
    num cache accesses               |         26 |         11
    num cache misses                 |         25 |          7
    miss rate                        |     96.15% |     63.64%
    mpki                             |       0.20 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     105.32 |        inf
  average dram queueing delay        |      51.89 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
