                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     464229 |     457805 |     470243 |     506015 |     479043 |     430799 |     437969 |     522319
  Cycles                             |    3012825 |    3012825 |    3012825 |    3012825 |    3012825 |    3012825 |    3012825 |    3012825
  IPC                                |       0.15 |       0.15 |       0.16 |       0.17 |       0.16 |       0.14 |       0.15 |       0.17
  Time (ns)                          |    1132641 |    1132641 |    1132641 |    1132641 |    1132641 |    1132641 |    1132641 |    1132641
  Idle time (ns)                     |     124856 |     180990 |     203483 |     136077 |     100598 |     268389 |     266486 |     117935
  Idle time (%)                      |      11.0% |      16.0% |      18.0% |      12.0% |       8.9% |      23.7% |      23.5% |      10.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      59487 |      58429 |      60498 |      66471 |      62004 |      53966 |      55170 |      69194
  num incorrect                      |        225 |        217 |        221 |        210 |        181 |        179 |        170 |        204
  misprediction rate                 |      0.38% |      0.37% |      0.36% |      0.31% |      0.29% |      0.33% |      0.31% |      0.29%
  mpki                               |       0.48 |       0.47 |       0.47 |       0.42 |       0.38 |       0.42 |       0.39 |       0.39
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     125414 |     123285 |     127431 |     139355 |     130361 |     114283 |     116673 |     144789
    num cache misses                 |         16 |         17 |         17 |         17 |         16 |         17 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.03 |       0.03 |       0.04 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     264146 |     260943 |     267162 |     285048 |     271561 |     247440 |     251025 |     293200
    num cache misses                 |      51246 |      42779 |      42939 |      47076 |      44971 |      39255 |      40143 |      47114
    miss rate                        |     19.40% |     16.39% |     16.07% |     16.52% |     16.56% |     15.86% |     15.99% |     16.07%
    mpki                             |     110.39 |      93.44 |      91.31 |      93.03 |      93.88 |      91.12 |      91.66 |      90.20
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      51354 |      42873 |      43011 |      47180 |      45035 |      39340 |      40222 |      47206
    num cache misses                 |      30004 |      23161 |      22393 |      24601 |      28065 |      23102 |      22494 |      26529
    miss rate                        |     58.43% |     54.02% |     52.06% |     52.14% |     62.32% |     58.72% |     55.92% |     56.20%
    mpki                             |      64.63 |      50.59 |      47.62 |      48.62 |      58.59 |      53.63 |      51.36 |      50.79
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      30060 |      23199 |      22425 |      24671 |      28094 |      23143 |      22534 |      26582
    num cache misses                 |         17 |          7 |         12 |         10 |          5 |          8 |          9 |          8
    miss rate                        |      0.06% |      0.03% |      0.05% |      0.04% |      0.02% |      0.03% |      0.04% |      0.03%
    mpki                             |       0.04 |       0.02 |       0.03 |       0.02 |       0.01 |       0.02 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     148.83 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      95.40 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          5 |          5 |          5 |          4 |          5 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
