                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     227627 |     226465 |     227555 |     227924 |     227290 |     228572 |     228984 |     227533
  Cycles                             |    5494449 |    5494449 |    5494449 |    5494449 |    5494449 |    5494449 |    5494449 |    5494449
  IPC                                |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  Time (ns)                          |    2065582 |    2065582 |    2065582 |    2065582 |    2065582 |    2065582 |    2065582 |    2065582
  Idle time (ns)                     |    1897170 |    1898486 |    1896117 |    1894814 |    1898829 |    1895626 |    1892989 |    1897943
  Idle time (%)                      |      91.8% |      91.9% |      91.8% |      91.7% |      91.9% |      91.8% |      91.6% |      91.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19854 |      19832 |      19923 |      19882 |      19866 |      19967 |      19856 |      19895
  num incorrect                      |       1214 |       1165 |       1201 |       1219 |       1225 |       1255 |       1335 |       1205
  misprediction rate                 |      5.76% |      5.55% |      5.69% |      5.78% |      5.81% |      5.91% |      6.30% |      5.71%
  mpki                               |       5.33 |       5.14 |       5.28 |       5.35 |       5.39 |       5.49 |       5.83 |       5.30
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19131 |      19003 |      19069 |      19155 |      19071 |      19188 |      19285 |      19103
    num cache misses                 |         24 |         25 |         24 |         26 |         25 |         24 |         26 |         26
    miss rate                        |      0.13% |      0.13% |      0.13% |      0.14% |      0.13% |      0.13% |      0.13% |      0.14%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     138474 |     138012 |     138387 |     138589 |     138293 |     138780 |     139032 |     138396
    num cache misses                 |       3278 |       3135 |       3335 |       3380 |       3318 |       3236 |       3503 |       3150
    miss rate                        |      2.37% |      2.27% |      2.41% |      2.44% |      2.40% |      2.33% |      2.52% |      2.28%
    mpki                             |      14.40 |      13.84 |      14.66 |      14.83 |      14.60 |      14.16 |      15.30 |      13.84
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4113 |       3986 |       4124 |       4195 |       4116 |       4013 |       4384 |       3944
    num cache misses                 |       1570 |       1466 |       1584 |       1552 |       1615 |       1466 |       1628 |       1527
    miss rate                        |     38.17% |     36.78% |     38.41% |     37.00% |     39.24% |     36.53% |     37.14% |     38.72%
    mpki                             |       6.90 |       6.47 |       6.96 |       6.81 |       7.11 |       6.41 |       7.11 |       6.71
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2096 |       2019 |       2100 |       2060 |       2134 |       1950 |       2171 |       2023
    num cache misses                 |         26 |          9 |          7 |          8 |         11 |          8 |          8 |         11
    miss rate                        |      1.24% |      0.45% |      0.33% |      0.39% |      0.52% |      0.41% |      0.37% |      0.54%
    mpki                             |       0.11 |       0.04 |       0.03 |       0.04 |       0.05 |       0.03 |       0.03 |       0.05
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     135.54 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      82.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          5 |          4 |          6 |          4 |          5 |          7 |          8
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
