                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     254371 |     215200 |     233928 |     236030 |     247012 |     240016 |     203449 |     227983 |     235997 |     249210 |     239746 |     233072 |     194417 |     258913 |     261688 |     262402
  Cycles                             |     891402 |     891402 |     891402 |     891402 |     891402 |     891402 |     891402 |     891402 |     891402 |     891402 |     891402 |     891402 |     891402 |     891402 |     891402 |     891402
  IPC                                |       0.29 |       0.24 |       0.26 |       0.26 |       0.28 |       0.27 |       0.23 |       0.26 |       0.26 |       0.28 |       0.27 |       0.26 |       0.22 |       0.29 |       0.29 |       0.29
  Time (ns)                          |     335114 |     335114 |     335114 |     335114 |     335114 |     335114 |     335114 |     335114 |     335114 |     335114 |     335114 |     335114 |     335114 |     335114 |     335114 |     335114
  Idle time (ns)                     |      23213 |      97674 |      46456 |      32704 |       4895 |      10853 |      87907 |      45032 |      89498 |      42501 |      66847 |      74177 |     127109 |      28226 |      13811 |       3041
  Idle time (%)                      |       6.9% |      29.1% |      13.9% |       9.8% |       1.5% |       3.2% |      26.2% |      13.4% |      26.7% |      12.7% |      19.9% |      22.1% |      37.9% |       8.4% |       4.1% |       0.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      50319 |      40513 |      45231 |      45741 |      48451 |      46718 |      37506 |      43712 |      45704 |      49036 |      46574 |      45008 |      35294 |      51386 |      52105 |      52294
  num incorrect                      |        273 |        282 |        264 |        280 |        314 |        287 |        363 |        291 |        295 |        272 |        363 |        264 |        305 |        340 |        316 |        311
  misprediction rate                 |      0.54% |      0.69% |      0.58% |      0.61% |      0.64% |      0.61% |      0.96% |      0.66% |      0.64% |      0.55% |      0.77% |      0.58% |      0.86% |      0.66% |      0.60% |      0.59%
  mpki                               |       1.07 |       1.31 |       1.13 |       1.19 |       1.27 |       1.20 |       1.78 |       1.28 |       1.25 |       1.09 |       1.51 |       1.13 |       1.57 |       1.31 |       1.21 |       1.19
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     104166 |      84567 |      93981 |      95035 |     100519 |      96999 |      78729 |      90994 |      94984 |     101606 |      96858 |      93530 |      74184 |     106434 |     107818 |     108185
    num cache misses                 |         16 |         15 |         15 |         15 |         15 |         15 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         14
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.06 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.07 |       0.07 |       0.07 |       0.06 |       0.07 |       0.07 |       0.08 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     136212 |     116607 |     126005 |     127056 |     132546 |     129021 |     110753 |     123031 |     127028 |     133645 |     128908 |     125574 |     106228 |     138484 |     139877 |     140234
    num cache misses                 |       8807 |       6807 |       8018 |       8258 |       8494 |       8651 |       6947 |       7883 |       6971 |       8307 |       7729 |       7048 |       5959 |       8026 |       8403 |       8391
    miss rate                        |      6.47% |      5.84% |      6.36% |      6.50% |      6.41% |      6.71% |      6.27% |      6.41% |      5.49% |      6.22% |      6.00% |      5.61% |      5.61% |      5.80% |      6.01% |      5.98%
    mpki                             |      34.62 |      31.63 |      34.28 |      34.99 |      34.39 |      36.04 |      34.15 |      34.58 |      29.54 |      33.33 |      32.24 |      30.24 |      30.65 |      31.00 |      32.11 |      31.98
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9679 |       7701 |       8873 |       9084 |       9232 |       9516 |       7810 |       8764 |       7972 |       9123 |       8587 |       7920 |       6828 |       8830 |       9222 |       9111
    num cache misses                 |       8831 |       6828 |       8043 |       8283 |       8519 |       8678 |       6979 |       7924 |       6992 |       8332 |       7753 |       7078 |       5990 |       8061 |       8439 |       8429
