                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |     91.24% |     88.66% |     90.65% |     91.18% |     92.28% |     91.19% |     89.36% |     90.42% |     87.71% |     91.33% |     90.29% |     89.37% |     87.73% |     91.29% |     91.51% |     92.51%
    mpki                             |      34.72 |      31.73 |      34.38 |      35.09 |      34.49 |      36.16 |      34.30 |      34.76 |      29.63 |      33.43 |      32.34 |      30.37 |      30.81 |      31.13 |      32.25 |      32.12
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9679 |       7701 |       8873 |       9084 |       9232 |       9516 |       7810 |       8764 |       7972 |       9123 |       8587 |       7920 |       6828 |       8830 |       9222 |       9111
    num cache misses                 |       5869 |       4706 |       5353 |       5491 |       5734 |       5761 |       4601 |       5353 |       4662 |       5627 |       5109 |       4689 |       3922 |       5388 |       5785 |       5854
    miss rate                        |     60.64% |     61.11% |     60.33% |     60.45% |     62.11% |     60.54% |     58.91% |     61.08% |     58.48% |     61.68% |     59.50% |     59.20% |     57.44% |     61.02% |     62.73% |     64.25%
    mpki                             |      23.07 |      21.87 |      22.88 |      23.26 |      23.21 |      24.00 |      22.62 |      23.48 |      19.75 |      22.58 |      21.31 |      20.12 |      20.17 |      20.81 |      22.11 |      22.31
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     222.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     168.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          5 |          5 |          3 |          5 |          5 |          4 |          4 |          4 |          4 |          4 |          3 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3738 |       2803 |       3179 |       3298 |       3548 |       3554 |       2779 |       3249 |       2767 |       3437 |       3018 |       2790 |       2209 |       3297 |       3469 |       3533
