                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     118111 |      88751 |     121961 |     117570 |     121770 |     137120 |     121648 |     114791
  Cycles                             |     823332 |     823332 |     823332 |     823332 |     823332 |     823332 |     823332 |     823332
  IPC                                |       0.14 |       0.11 |       0.15 |       0.14 |       0.15 |       0.17 |       0.15 |       0.14
  Time (ns)                          |     309523 |     309523 |     309523 |     309523 |     309523 |     309523 |     309523 |     309523
  Idle time (ns)                     |     101462 |     202654 |     111476 |     120864 |     114202 |     100531 |     121546 |     157012
  Idle time (%)                      |      32.8% |      65.5% |      36.0% |      39.0% |      36.9% |      32.5% |      39.3% |      50.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      14331 |       8447 |      15030 |      14151 |      15042 |      18086 |      15024 |      13612
  num incorrect                      |         97 |        115 |        174 |        175 |        124 |        149 |        116 |        151
  misprediction rate                 |      0.67% |      1.34% |      1.14% |      1.22% |      0.82% |      0.82% |      0.77% |      1.10%
  mpki                               |       0.82 |       1.30 |       1.43 |       1.49 |       1.02 |       1.09 |       0.95 |       1.32
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      34846 |      23117 |      36401 |      34645 |      36325 |      42461 |      36275 |      33519
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         16 |         17 |         17
    miss rate                        |      0.05% |      0.07% |      0.05% |      0.05% |      0.05% |      0.04% |      0.05% |      0.05%
    mpki                             |       0.14 |       0.19 |       0.14 |       0.14 |       0.14 |       0.12 |       0.14 |       0.15
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      74294 |      56691 |      76617 |      73983 |      76503 |      85711 |      76431 |      72294
    num cache misses                 |      10468 |       5120 |       9250 |       8909 |       9550 |      10232 |       9559 |       8186
    miss rate                        |     14.09% |      9.03% |     12.07% |     12.04% |     12.48% |     11.94% |     12.51% |     11.32%
    mpki                             |      88.63 |      57.69 |      75.84 |      75.78 |      78.43 |      74.62 |      78.58 |      71.31
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10517 |       5180 |       9313 |       8977 |       9621 |      10294 |       9610 |       8241
    num cache misses                 |       6881 |       2860 |       5552 |       5493 |       5523 |       5941 |       5190 |       4148
    miss rate                        |     65.43% |     55.21% |     59.62% |     61.19% |     57.41% |     57.71% |     54.01% |     50.33%
    mpki                             |      58.26 |      32.22 |      45.52 |      46.72 |      45.36 |      43.33 |      42.66 |      36.14
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6901 |       2895 |       5586 |       5519 |       5568 |       5967 |       5205 |       4168
    num cache misses                 |         22 |          8 |         10 |          8 |          9 |          8 |          9 |          8
    miss rate                        |      0.32% |      0.28% |      0.18% |      0.14% |      0.16% |      0.13% |      0.17% |      0.19%
    mpki                             |       0.19 |       0.09 |       0.08 |       0.07 |       0.07 |       0.06 |       0.07 |       0.07
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     154.63 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     101.21 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          3 |          4 |          6 |          5 |          5 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
