                                     | Core 0     | Core 1    
  Instructions                       |      99233 |     118222
  Cycles                             |     333853 |     333853
  IPC                                |       0.30 |       0.35
  Time (ns)                          |     125509 |     125509
  Idle time (ns)                     |     104136 |      99165
  Idle time (%)                      |      83.0% |      79.0%
Branch predictor stats               |            |           
  num correct                        |      11680 |      16368
  num incorrect                      |        132 |        191
  misprediction rate                 |      1.12% |      1.15%
  mpki                               |       1.33 |       1.62
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      26614 |      36106
    num cache misses                 |         16 |         15
    miss rate                        |      0.06% |      0.04%
    mpki                             |       0.16 |       0.13
  Cache L1-D                         |            |           
    num cache accesses               |      58648 |      68147
    num cache misses                 |       1171 |       1433
    miss rate                        |      2.00% |      2.10%
    mpki                             |      11.80 |      12.12
  Cache L2                           |            |           
    num cache accesses               |       1757 |       1757
    num cache misses                 |         24 |          8
    miss rate                        |      1.37% |      0.46%
    mpki                             |       0.24 |       0.07
  Cache L3                           |            |           
    num cache accesses               |         26 |         11
    num cache misses                 |         24 |          8
    miss rate                        |     92.31% |     72.73%
    mpki                             |       0.24 |       0.07
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      93.60 |        inf
  average dram queueing delay        |      40.17 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
