                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     408188 |     421105 |     386390 |     401635 |     316842 |     417493 |     420296 |     307180 |     374685 |     396449 |     467798 |     452156 |     452391 |     448657 |     412047 |     462626
  Cycles                             |    1286146 |    1286146 |    1286146 |    1286146 |    1286146 |    1286146 |    1286146 |    1286146 |    1286146 |    1286146 |    1286146 |    1286146 |    1286146 |    1286146 |    1286146 |    1286146
  IPC                                |       0.32 |       0.33 |       0.30 |       0.31 |       0.25 |       0.32 |       0.33 |       0.24 |       0.29 |       0.31 |       0.36 |       0.35 |       0.35 |       0.35 |       0.32 |       0.36
  Time (ns)                          |     483514 |     483514 |     483514 |     483514 |     483514 |     483514 |     483514 |     483514 |     483514 |     483514 |     483514 |     483514 |     483514 |     483514 |     483514 |     483514
  Idle time (ns)                     |      89435 |      16846 |      62895 |      55270 |     153114 |      22446 |       4642 |     165401 |     157321 |     116398 |      37160 |      16338 |      46203 |       4506 |      79451 |       3038
  Idle time (%)                      |      18.5% |       3.5% |      13.0% |      11.4% |      31.7% |       4.6% |       1.0% |      34.2% |      32.5% |      24.1% |       7.7% |       3.4% |       9.6% |       0.9% |      16.4% |       0.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      88957 |      92261 |      83606 |      87397 |      66219 |      91394 |      92113 |      63829 |      80693 |      86162 |     103933 |      99974 |     100044 |      99200 |      89990 |     102678
  num incorrect                      |        328 |        271 |        248 |        260 |        247 |        236 |        217 |        224 |        240 |        212 |        265 |        308 |        314 |        225 |        262 |        223
  misprediction rate                 |      0.37% |      0.29% |      0.30% |      0.30% |      0.37% |      0.26% |      0.24% |      0.35% |      0.30% |      0.25% |      0.25% |      0.31% |      0.31% |      0.23% |      0.29% |      0.22%
  mpki                               |       0.80 |       0.64 |       0.64 |       0.65 |       0.78 |       0.57 |       0.52 |       0.73 |       0.64 |       0.53 |       0.57 |       0.68 |       0.69 |       0.50 |       0.64 |       0.48
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     181518 |     188034 |     170686 |     178293 |     135910 |     186240 |     187638 |     131082 |     164852 |     175734 |     211367 |     203524 |     203698 |     201834 |     183458 |     208763
    num cache misses                 |         15 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         15 |         15 |         16 |         16 |         15 |         15 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.03 |       0.04 |       0.03 |       0.03 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     213615 |     220090 |     202730 |     210337 |     167958 |     218285 |     219686 |     163129 |     196884 |     207766 |     243435 |     235604 |     235736 |     233869 |     215547 |     240840
    num cache misses                 |       9643 |      11180 |       9609 |       9955 |       7375 |      10312 |      10418 |       7171 |       7964 |       8562 |      10414 |      10820 |       9924 |      10467 |       9014 |      10313
    miss rate                        |      4.51% |      5.08% |      4.74% |      4.73% |      4.39% |      4.72% |      4.74% |      4.40% |      4.05% |      4.12% |      4.28% |      4.59% |      4.21% |      4.48% |      4.18% |      4.28%
    mpki                             |      23.62 |      26.55 |      24.87 |      24.79 |      23.28 |      24.70 |      24.79 |      23.34 |      21.26 |      21.60 |      22.26 |      23.93 |      21.94 |      23.33 |      21.88 |      22.29
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10730 |      12122 |      10553 |      10901 |       8394 |      11232 |      11300 |       8180 |       9080 |       9529 |      11390 |      11714 |      10892 |      11337 |      10023 |      11125
    num cache misses                 |       9658 |      11196 |       9626 |       9973 |       7392 |      10330 |      10436 |       7187 |       7981 |       8580 |      10433 |      10842 |       9944 |      10486 |       9036 |      10335
    miss rate                        |     90.01% |     92.36% |     91.22% |     91.49% |     88.06% |     91.97% |     92.35% |     87.86% |     87.90% |     90.04% |     91.60% |     92.56% |     91.30% |     92.49% |     90.15% |     92.90%
    mpki                             |      23.66 |      26.59 |      24.91 |      24.83 |      23.33 |      24.74 |      24.83 |      23.40 |      21.30 |      21.64 |      22.30 |      23.98 |      21.98 |      23.37 |      21.93 |      22.34
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10730 |      12122 |      10553 |      10901 |       8394 |      11232 |      11300 |       8180 |       9080 |       9529 |      11390 |      11714 |      10892 |      11337 |      10023 |      11125
    num cache misses                 |       6687 |       7842 |       6536 |       6700 |       4975 |       7127 |       7328 |       4955 |       5573 |       5931 |       7174 |       7397 |       6831 |       7236 |       6161 |       7300
    miss rate                        |     62.32% |     64.69% |     61.93% |     61.46% |     59.27% |     63.45% |     64.85% |     60.57% |     61.38% |     62.24% |     62.99% |     63.15% |     62.72% |     63.83% |     61.47% |     65.62%
    mpki                             |      16.38 |      18.62 |      16.92 |      16.68 |      15.70 |      17.07 |      17.44 |      16.13 |      14.87 |      14.96 |      15.34 |      16.36 |      15.10 |      16.13 |      14.95 |      15.78
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     223.68 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     170.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          4 |          3 |          3 |          3 |          3 |          3 |          5 |          3 |          3 |          4 |          3 |          3 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4195 |       4832 |       3926 |       4040 |       3130 |       4379 |       4499 |       3055 |       3379 |       3577 |       4552 |       4586 |       4363 |       4447 |       3739 |       4570
