                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5014160 |    4773775 |    4861155 |    4025310 |    5420052 |    5220747 |    5975172 |    5650470
  Cycles                             |   29084274 |   29084274 |   29084274 |   29084274 |   29084274 |   29084274 |   29084274 |   29084274
  IPC                                |       0.17 |       0.16 |       0.17 |       0.14 |       0.19 |       0.18 |       0.21 |       0.19
  Time (ns)                          |   10933938 |   10933938 |   10933938 |   10933938 |   10933938 |   10933938 |   10933938 |   10933938
  Idle time (ns)                     |     100622 |     671141 |     876865 |    3120159 |     502135 |    1056604 |     445079 |    1247531
  Idle time (%)                      |       0.9% |       6.1% |       8.0% |      28.5% |       4.6% |       9.7% |       4.1% |      11.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     835010 |     786885 |     804393 |     637237 |     916147 |     876319 |    1027175 |     962245
  num incorrect                      |        227 |        285 |        250 |        237 |        275 |        242 |        271 |        261
  misprediction rate                 |      0.03% |      0.04% |      0.03% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03%
  mpki                               |       0.05 |       0.06 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1676462 |    1580334 |    1615279 |    1280941 |    1838838 |    1759116 |    2060886 |    1931005
    num cache misses                 |         14 |         16 |         17 |         17 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3130722 |    2986510 |    3038934 |    2537427 |    3374274 |    3254691 |    3707346 |    3512524
    num cache misses                 |     519755 |     454557 |     462464 |     359026 |     511433 |     496385 |     542847 |     512421
    miss rate                        |     16.60% |     15.22% |     15.22% |     14.15% |     15.16% |     15.25% |     14.64% |     14.59%
    mpki                             |     103.66 |      95.22 |      95.13 |      89.19 |      94.36 |      95.08 |      90.85 |      90.69
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     519836 |     454654 |     462542 |     359116 |     511464 |     496416 |     542883 |     512449
    num cache misses                 |     303243 |     246965 |     239970 |     177359 |     251969 |     238230 |     251787 |     225783
    miss rate                        |     58.33% |     54.32% |     51.88% |     49.39% |     49.26% |     47.99% |     46.38% |     44.06%
    mpki                             |      60.48 |      51.73 |      49.36 |      44.06 |      46.49 |      45.63 |      42.14 |      39.96
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     303305 |     247035 |     240024 |     177421 |     251972 |     238233 |     251790 |     225786
    num cache misses                 |         22 |          8 |          8 |          9 |          5 |          8 |         12 |          6
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     148.81 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      95.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          5 |          4 |          4 |          4 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
