                                     | Core 0     | Core 1    
  Instructions                       |     383046 |     503776
  Cycles                             |     662886 |     662886
  IPC                                |       0.58 |       0.76
  Time (ns)                          |     249205 |     249205
  Idle time (ns)                     |     117787 |      99168
  Idle time (%)                      |      47.3% |      39.8%
Branch predictor stats               |            |           
  num correct                        |      52634 |      76790
  num incorrect                      |        381 |        376
  misprediction rate                 |      0.72% |      0.49%
  mpki                               |       0.99 |       0.75
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     112020 |     160324
    num cache misses                 |         16 |         15
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.04 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     244055 |     316507
    num cache misses                 |       3401 |       3419
    miss rate                        |      1.39% |      1.08%
    mpki                             |       8.88 |       6.79
  Cache L2                           |            |           
    num cache accesses               |       3648 |       3651
    num cache misses                 |         20 |         13
    miss rate                        |      0.55% |      0.36%
    mpki                             |       0.05 |       0.03
  Cache L3                           |            |           
    num cache accesses               |         21 |         17
    num cache misses                 |         20 |         13
    miss rate                        |     95.24% |     76.47%
    mpki                             |       0.05 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     101.76 |        inf
  average dram queueing delay        |      48.33 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
