                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     416621 |     501140 |     432844 |     464800 |     474424 |     484697 |     415299 |     451062 |     492719 |     530074 |     459470 |     502420 |     584090 |     495969 |     473245 |     488414
  Cycles                             |    6539912 |    6539912 |    6539912 |    6539912 |    6539912 |    6539912 |    6539912 |    6539912 |    6539912 |    6539912 |    6539912 |    6539912 |    6539912 |    6539912 |    6539912 |    6539912
  IPC                                |       0.06 |       0.08 |       0.07 |       0.07 |       0.07 |       0.07 |       0.06 |       0.07 |       0.08 |       0.08 |       0.07 |       0.08 |       0.09 |       0.08 |       0.07 |       0.07
  Time (ns)                          |    2458614 |    2458614 |    2458614 |    2458614 |    2458614 |    2458614 |    2458614 |    2458614 |    2458614 |    2458614 |    2458614 |    2458614 |    2458614 |    2458614 |    2458614 |    2458614
  Idle time (ns)                     |     548761 |      60377 |     413823 |     207827 |     201140 |     143834 |     558858 |     314345 |      70337 |       2895 |     255171 |      43338 |       5362 |      69188 |     178595 |      74960
  Idle time (%)                      |      22.3% |       2.5% |      16.8% |       8.5% |       8.2% |       5.9% |      22.7% |      12.8% |       2.9% |       0.1% |      10.4% |       1.8% |       0.2% |       2.8% |       7.3% |       3.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      59541 |      76468 |      62764 |      69157 |      71069 |      73102 |      59284 |      66427 |      74775 |      82177 |      68075 |      76698 |      92983 |      75373 |      70858 |      73861
  num incorrect                      |        189 |        174 |        219 |        215 |        230 |        249 |        190 |        197 |        183 |        249 |        231 |        198 |        247 |        235 |        205 |        236
  misprediction rate                 |      0.32% |      0.23% |      0.35% |      0.31% |      0.32% |      0.34% |      0.32% |      0.30% |      0.24% |      0.30% |      0.34% |      0.26% |      0.26% |      0.31% |      0.29% |      0.32%
  mpki                               |       0.45 |       0.35 |       0.51 |       0.46 |       0.48 |       0.51 |       0.46 |       0.44 |       0.37 |       0.47 |       0.50 |       0.39 |       0.42 |       0.47 |       0.43 |       0.48
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     125450 |     159282 |     131964 |     144737 |     148596 |     152696 |     124946 |     139242 |     155914 |     170843 |     142605 |     159785 |     192453 |     157214 |     148119 |     154192
    num cache misses                 |         16 |         16 |         16 |         17 |         16 |         16 |         16 |         16 |         16 |         16 |         17 |         17 |         17 |         16 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.03 |       0.04 |       0.04 |       0.03 |       0.03 |       0.04 |       0.04 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     264200 |     314931 |     273954 |     293121 |     298902 |     305061 |     263427 |     284880 |     309879 |     332284 |     289923 |     315693 |     364695 |     311829 |     298188 |     307296
    num cache misses                 |      56830 |      57804 |      49088 |      54638 |      55842 |      57457 |      46894 |      53498 |      71026 |      59248 |      52424 |      58954 |      59089 |      57464 |      55199 |      56820
    miss rate                        |     21.51% |     18.35% |     17.92% |     18.64% |     18.68% |     18.83% |     17.80% |     18.78% |     22.92% |     17.83% |     18.08% |     18.67% |     16.20% |     18.43% |     18.51% |     18.49%
    mpki                             |     136.41 |     115.35 |     113.41 |     117.55 |     117.70 |     118.54 |     112.92 |     118.60 |     144.15 |     111.77 |     114.10 |     117.34 |     101.16 |     115.86 |     116.64 |     116.34
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      56956 |      57903 |      49224 |      54782 |      55957 |      57587 |      46974 |      53618 |      71138 |      59420 |      52548 |      59089 |      59226 |      57600 |      55320 |      56958
    num cache misses                 |      56846 |      57820 |      49104 |      54655 |      55858 |      57473 |      46910 |      53514 |      71042 |      59264 |      52441 |      58971 |      59106 |      57480 |      55215 |      56836
    miss rate                        |     99.81% |     99.86% |     99.76% |     99.77% |     99.82% |     99.80% |     99.86% |     99.81% |     99.87% |     99.74% |     99.80% |     99.80% |     99.80% |     99.79% |     99.81% |     99.79%
    mpki                             |     136.45 |     115.38 |     113.45 |     117.59 |     117.74 |     118.58 |     112.95 |     118.64 |     144.18 |     111.80 |     114.13 |     117.37 |     101.19 |     115.89 |     116.67 |     116.37
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      56956 |      57903 |      49224 |      54782 |      55957 |      57587 |      46974 |      53618 |      71138 |      59420 |      52548 |      59089 |      59226 |      57600 |      55320 |      56958
    num cache misses                 |      20850 |      34481 |      26970 |      30541 |      31558 |      32746 |      25234 |      29508 |      25502 |      32590 |      29356 |      31728 |      32029 |      31801 |      30802 |      30864
    miss rate                        |     36.61% |     59.55% |     54.79% |     55.75% |     56.40% |     56.86% |     53.72% |     55.03% |     35.85% |     54.85% |     55.87% |     53.70% |     54.08% |     55.21% |     55.68% |     54.19%
