                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     494865 |     580039 |     464853 |     455049 |     514535 |     497505 |     587170 |     525609 |     568481 |     511435 |     521277 |     562911 |     448131 |     523911 |     565113 |     558501
  Cycles                             |    7001954 |    7001954 |    7001954 |    7001954 |    7001954 |    7001954 |    7001954 |    7001954 |    7001954 |    7001954 |    7001954 |    7001954 |    7001954 |    7001954 |    7001954 |    7001954
  IPC                                |       0.07 |       0.08 |       0.07 |       0.06 |       0.07 |       0.07 |       0.08 |       0.08 |       0.08 |       0.07 |       0.07 |       0.08 |       0.06 |       0.07 |       0.08 |       0.08
  Time (ns)                          |    2632314 |    2632314 |    2632314 |    2632314 |    2632314 |    2632314 |    2632314 |    2632314 |    2632314 |    2632314 |    2632314 |    2632314 |    2632314 |    2632314 |    2632314 |    2632314
  Idle time (ns)                     |     389615 |       2913 |     544122 |     605193 |     258020 |     354072 |      12141 |     201623 |      34074 |     299617 |     234702 |      47879 |     743816 |     232914 |      24644 |      70426
  Idle time (%)                      |      14.8% |       0.1% |      20.7% |      23.0% |       9.8% |      13.5% |       0.5% |       7.7% |       1.3% |      11.4% |       8.9% |       1.8% |      28.3% |       8.8% |       0.9% |       2.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      64597 |      78818 |      59667 |      58022 |      67910 |      65102 |      80007 |      69751 |      76902 |      67446 |      69055 |      75972 |      56853 |      69492 |      76350 |      75282
  num incorrect                      |        221 |        187 |        150 |        161 |        188 |        157 |        197 |        192 |        187 |        135 |        166 |        188 |        177 |        168 |        177 |        143
  misprediction rate                 |      0.34% |      0.24% |      0.25% |      0.28% |      0.28% |      0.24% |      0.25% |      0.27% |      0.24% |      0.20% |      0.24% |      0.25% |      0.31% |      0.24% |      0.23% |      0.19%
  mpki                               |       0.45 |       0.32 |       0.32 |       0.35 |       0.37 |       0.32 |       0.34 |       0.37 |       0.33 |       0.26 |       0.32 |       0.33 |       0.39 |       0.32 |       0.31 |       0.26
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
