                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4938999 |    5267006 |    5170986 |    4992637 |    5065113 |    5092297 |    3577516 |    4460643 |    4687192 |    4721238 |    5217756 |    5370689 |    4673035 |    4036105 |    5201906 |    4898832
  Cycles                             |    4819114 |    4819114 |    4819114 |    4819114 |    4819114 |    4819114 |    4819114 |    4819114 |    4819114 |    4819114 |    4819114 |    4819114 |    4819114 |    4819114 |    4819114 |    4819114
  IPC                                |       1.02 |       1.09 |       1.07 |       1.04 |       1.05 |       1.06 |       0.74 |       0.93 |       0.97 |       0.98 |       1.08 |       1.11 |       0.97 |       0.84 |       1.08 |       1.02
  Time (ns)                          |    1811697 |    1811697 |    1811697 |    1811697 |    1811697 |    1811697 |    1811697 |    1811697 |    1811697 |    1811697 |    1811697 |    1811697 |    1811697 |    1811697 |    1811697 |    1811697
  Idle time (ns)                     |     131911 |       6958 |      32093 |     115571 |      83557 |      35471 |     590501 |     295071 |     233909 |     230167 |      36676 |       3076 |     228749 |     423719 |      36242 |     136864
  Idle time (%)                      |       7.3% |       0.4% |       1.8% |       6.4% |       4.6% |       2.0% |      32.6% |      16.3% |      12.9% |      12.7% |       2.0% |       0.2% |      12.6% |      23.4% |       2.0% |       7.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1200958 |    1282979 |    1258771 |    1214281 |    1232597 |    1239350 |     860678 |    1081465 |    1138088 |    1146637 |    1270600 |    1309008 |    1134486 |     975333 |    1266634 |    1190944
  num incorrect                      |        767 |        765 |        960 |        859 |        679 |        716 |        688 |        688 |        696 |        672 |        816 |        661 |        764 |        677 |        833 |        752
  misprediction rate                 |      0.06% |      0.06% |      0.08% |      0.07% |      0.06% |      0.06% |      0.08% |      0.06% |      0.06% |      0.06% |      0.06% |      0.05% |      0.07% |      0.07% |      0.07% |      0.06%
  mpki                               |       0.16 |       0.15 |       0.19 |       0.17 |       0.13 |       0.14 |       0.19 |       0.15 |       0.15 |       0.14 |       0.16 |       0.12 |       0.16 |       0.17 |       0.16 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2406364 |    2570424 |    2522376 |    2433189 |    2469508 |    2483072 |    1725660 |    2167248 |    2280486 |    2297572 |    2545748 |    2622286 |    2273432 |    1954937 |    2537869 |    2386322
    num cache misses                 |         15 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         14 |         15 |         16 |         16 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2501512 |    2665531 |    2617516 |    2528338 |    2564589 |    2578177 |    1820783 |    2262350 |    2375620 |    2392652 |    2640885 |    2717376 |    2368545 |    2050074 |    2632979 |    2481442
    num cache misses                 |      20183 |      21954 |      21572 |      20178 |      20467 |      21173 |      14128 |      17655 |      18572 |      18682 |      21242 |      21433 |      18633 |      16051 |      21052 |      19448
    miss rate                        |      0.81% |      0.82% |      0.82% |      0.80% |      0.80% |      0.82% |      0.78% |      0.78% |      0.78% |      0.78% |      0.80% |      0.79% |      0.79% |      0.78% |      0.80% |      0.78%
    mpki                             |       4.09 |       4.17 |       4.17 |       4.04 |       4.04 |       4.16 |       3.95 |       3.96 |       3.96 |       3.96 |       4.07 |       3.99 |       3.99 |       3.98 |       4.05 |       3.97
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      21556 |      23087 |      22700 |      21298 |      21568 |      22278 |      15298 |      18786 |      19934 |      19780 |      22379 |      22507 |      19745 |      17175 |      22170 |      20575
    num cache misses                 |      20203 |      21974 |      21589 |      20196 |      20483 |      21194 |      14149 |      17672 |      18587 |      18698 |      21261 |      21448 |      18650 |      16069 |      21071 |      19465
    miss rate                        |     93.72% |     95.18% |     95.11% |     94.83% |     94.97% |     95.13% |     92.49% |     94.07% |     93.24% |     94.53% |     95.00% |     95.29% |     94.45% |     93.56% |     95.04% |     94.61%
    mpki                             |       4.09 |       4.17 |       4.18 |       4.05 |       4.04 |       4.16 |       3.95 |       3.96 |       3.97 |       3.96 |       4.07 |       3.99 |       3.99 |       3.98 |       4.05 |       3.97
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      21556 |      23087 |      22700 |      21298 |      21568 |      22278 |      15298 |      18786 |      19934 |      19780 |      22379 |      22507 |      19745 |      17175 |      22170 |      20575
    num cache misses                 |      12058 |      13032 |      12313 |      11146 |      11431 |      11886 |       7709 |      10027 |      10903 |      10535 |      12440 |      12360 |      10221 |       8670 |      11957 |      11096
    miss rate                        |     55.94% |     56.45% |     54.24% |     52.33% |     53.00% |     53.35% |     50.39% |     53.37% |     54.70% |     53.26% |     55.59% |     54.92% |     51.77% |     50.48% |     53.93% |     53.93%
    mpki                             |       2.44 |       2.47 |       2.38 |       2.23 |       2.26 |       2.33 |       2.15 |       2.25 |       2.33 |       2.23 |       2.38 |       2.30 |       2.19 |       2.15 |       2.30 |       2.27
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     218.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     164.64 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          4 |          4 |          3 |          3 |          4 |          4 |          3 |          5 |          4 |          4 |          3 |          4 |          6 |          3
