                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     238529 |     191662 |     224437 |     191922
  Cycles                             |     405845 |     405845 |     405845 |     405845
  IPC                                |       0.59 |       0.47 |       0.55 |       0.47
  Time (ns)                          |     152573 |     152573 |     152573 |     152573
  Idle time (ns)                     |      99380 |     105551 |     101865 |     107821
  Idle time (%)                      |      65.1% |      69.2% |      66.8% |      70.7%
Branch predictor stats               |            |            |            |           
  num correct                        |      46524 |      34712 |      43004 |      34868
  num incorrect                      |        352 |        452 |        361 |        368
  misprediction rate                 |      0.75% |      1.29% |      0.83% |      1.04%
  mpki                               |       1.48 |       2.36 |       1.61 |       1.92
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      96716 |      73285 |      89710 |      73446
    num cache misses                 |         13 |         16 |         16 |         15
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.05 |       0.08 |       0.07 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     128789 |     105362 |     121755 |     105497
    num cache misses                 |       4475 |       3814 |       4295 |       3795
    miss rate                        |      3.47% |      3.62% |      3.53% |      3.60%
    mpki                             |      18.76 |      19.90 |      19.14 |      19.77
  Cache L2                           |            |            |            |           
    num cache accesses               |       5112 |       4467 |       5124 |       4535
    num cache misses                 |         20 |          7 |         12 |          8
    miss rate                        |      0.39% |      0.16% |      0.23% |      0.18%
    mpki                             |       0.08 |       0.04 |       0.05 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |         22 |         10 |         15 |         11
    num cache misses                 |         20 |          7 |         12 |          8
    miss rate                        |     90.91% |     70.00% |     80.00% |     72.73%
    mpki                             |       0.08 |       0.04 |       0.05 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     109.35 |        inf |        inf |        inf
  average dram queueing delay        |      55.92 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
