                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3731114 |    3770674 |    3814583 |    4895213 |    4151846 |    4509145 |    4701511 |    4569069 |    2461485 |    4390317 |    4396987 |    4116013 |    4127849 |    4842146 |    4473909 |    5166358
  Cycles                             |   60802538 |   60802538 |   60802538 |   60802538 |   60802538 |   60802538 |   60802538 |   60802538 |   60802538 |   60802538 |   60802538 |   60802538 |   60802538 |   60802538 |   60802538 |   60802538
  IPC                                |       0.06 |       0.06 |       0.06 |       0.08 |       0.07 |       0.07 |       0.08 |       0.08 |       0.04 |       0.07 |       0.07 |       0.07 |       0.07 |       0.08 |       0.07 |       0.08
  Time (ns)                          |   22858097 |   22858097 |   22858097 |   22858097 |   22858097 |   22858097 |   22858097 |   22858097 |   22858097 |   22858097 |   22858097 |   22858097 |   22858097 |   22858097 |   22858097 |   22858097
  Idle time (ns)                     |    5457640 |    4961260 |    4672855 |       1886 |    2649181 |     875340 |     304833 |     730610 |   14206107 |    2122903 |    1812274 |    3467585 |    3511177 |     443539 |    1667445 |     136505
  Idle time (%)                      |      23.9% |      21.7% |      20.4% |       0.0% |      11.6% |       3.8% |       1.3% |       3.2% |      62.1% |       9.3% |       7.9% |      15.2% |      15.4% |       1.9% |       7.3% |       0.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     499001 |     505636 |     512959 |     693043 |     569124 |     628673 |     660736 |     638635 |     287485 |     608849 |     610008 |     563132 |     565205 |     684170 |     622839 |     738204
  num incorrect                      |        193 |        152 |        147 |        168 |        191 |        193 |        186 |        218 |        104 |        212 |        165 |        207 |        117 |        201 |        154 |        198
  misprediction rate                 |      0.04% |      0.03% |      0.03% |      0.02% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.04% |      0.02% |      0.03% |      0.02% |      0.03%
  mpki                               |       0.05 |       0.04 |       0.04 |       0.03 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.05 |       0.04 |       0.05 |       0.03 |       0.04 |       0.03 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1004376 |    1017571 |    1032206 |    1392410 |    1144619 |    1263719 |    1327830 |    1283700 |     581172 |    1224116 |    1226341 |    1132664 |    1136635 |    1374738 |    1251980 |    1482799
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         18 |         17 |         17 |         17 |         17 |         18 |         16 |         16 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2122585 |    2142379 |    2164327 |    2704637 |    2332952 |    2511598 |    2607773 |    2541568 |    1487776 |    2452192 |    2455533 |    2315024 |    2320962 |    2678116 |    2493988 |    2840221
    num cache misses                 |     495445 |     404865 |     412797 |     532481 |     472204 |     521120 |     537134 |     523751 |     229626 |     477276 |     484599 |     450412 |     453995 |     533802 |     505758 |     536798
    miss rate                        |     23.34% |     18.90% |     19.07% |     19.69% |     20.24% |     20.75% |     20.60% |     20.61% |     15.43% |     19.46% |     19.73% |     19.46% |     19.56% |     19.93% |     20.28% |     18.90%
    mpki                             |     132.79 |     107.37 |     108.22 |     108.78 |     113.73 |     115.57 |     114.25 |     114.63 |      93.29 |     108.71 |     110.21 |     109.43 |     109.98 |     110.24 |     113.05 |     103.90
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     495500 |     404915 |     412843 |     532554 |     472263 |     521179 |     537184 |     523817 |     229661 |     477338 |     484653 |     450472 |     454040 |     533862 |     505805 |     536862
    num cache misses                 |     495461 |     404882 |     412814 |     532498 |     472221 |     521137 |     537154 |     523768 |     229643 |     477293 |     484617 |     450430 |     454011 |     533818 |     505775 |     536815
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |     132.79 |     107.38 |     108.22 |     108.78 |     113.74 |     115.57 |     114.25 |     114.63 |      93.29 |     108.71 |     110.22 |     109.43 |     109.99 |     110.24 |     113.05 |     103.91
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     495500 |     404915 |     412843 |     532554 |     472263 |     521179 |     537184 |     523817 |     229661 |     477338 |     484653 |     450472 |     454040 |     533862 |     505805 |     536862
    num cache misses                 |     165941 |     230574 |     224752 |     298904 |     259586 |     287242 |     296060 |     288154 |      79537 |     297186 |     287652 |     265986 |     265840 |     318683 |     292729 |     315978
