                                     | Core 0     | Core 1    
  Instructions                       |     521109 |     556651
  Cycles                             |     715554 |     715554
  IPC                                |       0.73 |       0.78
  Time (ns)                          |     269005 |     269005
  Idle time (ns)                     |     105967 |      99124
  Idle time (%)                      |      39.4% |      36.8%
Branch predictor stats               |            |           
  num correct                        |      96683 |     105558
  num incorrect                      |        345 |        351
  misprediction rate                 |      0.36% |      0.33%
  mpki                               |       0.66 |       0.63
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     197040 |     214792
    num cache misses                 |         16 |         15
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     292083 |     309854
    num cache misses                 |       2058 |       2310
    miss rate                        |      0.70% |      0.75%
    mpki                             |       3.95 |       4.15
  Cache L2                           |            |           
    num cache accesses               |       2979 |       2979
    num cache misses                 |         23 |          8
    miss rate                        |      0.77% |      0.27%
    mpki                             |       0.04 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         25 |         11
    num cache misses                 |         23 |          8
    miss rate                        |     92.00% |     72.73%
    mpki                             |       0.04 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      93.28 |        inf
  average dram queueing delay        |      39.85 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
