                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4626262 |    5307966 |    4391494 |    5495147 |    5380374 |    5254699 |    5003220 |    5351818 |    5206522 |    5182423 |    5489219 |    5482538 |    4951627 |    4716094 |    4665474 |    5169775
  Cycles                             |    4940144 |    4940144 |    4940144 |    4940144 |    4940144 |    4940144 |    4940144 |    4940144 |    4940144 |    4940144 |    4940144 |    4940144 |    4940144 |    4940144 |    4940144 |    4940144
  IPC                                |       0.94 |       1.07 |       0.89 |       1.11 |       1.09 |       1.06 |       1.01 |       1.08 |       1.05 |       1.05 |       1.11 |       1.11 |       1.00 |       0.95 |       0.94 |       1.05
  Time (ns)                          |    1857197 |    1857197 |    1857197 |    1857197 |    1857197 |    1857197 |    1857197 |    1857197 |    1857197 |    1857197 |    1857197 |    1857197 |    1857197 |    1857197 |    1857197 |    1857197
  Idle time (ns)                     |     314909 |      80660 |     385042 |       9647 |      44572 |      87517 |     170412 |      22945 |     114342 |     116051 |       2014 |      13795 |     196259 |     286564 |     305766 |      89504
  Idle time (%)                      |      17.0% |       4.3% |      20.7% |       0.5% |       2.4% |       4.7% |       9.2% |       1.2% |       6.2% |       6.2% |       0.1% |       0.7% |      10.6% |      15.4% |      16.5% |       4.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1122413 |    1292888 |    1063865 |    1339707 |    1311077 |    1279545 |    1216767 |    1303852 |    1267526 |    1261569 |    1338068 |    1336431 |    1203881 |    1145015 |    1132216 |    1258338
  num incorrect                      |        863 |        818 |        728 |        809 |        739 |        847 |        775 |        812 |        822 |        763 |        942 |        916 |        761 |        742 |        869 |        800
  misprediction rate                 |      0.08% |      0.06% |      0.07% |      0.06% |      0.06% |      0.07% |      0.06% |      0.06% |      0.06% |      0.06% |      0.07% |      0.07% |      0.06% |      0.06% |      0.08% |      0.06%
  mpki                               |       0.19 |       0.15 |       0.17 |       0.15 |       0.14 |       0.16 |       0.15 |       0.15 |       0.16 |       0.15 |       0.17 |       0.17 |       0.15 |       0.16 |       0.19 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2249472 |    2590332 |    2132104 |    2683954 |    2626557 |    2563699 |    2438032 |    2612240 |    2539608 |    2527576 |    2680911 |    2677599 |    2412222 |    2294461 |    2269083 |    2521158
    num cache misses                 |         16 |         17 |         16 |         16 |         16 |         16 |         16 |         17 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2344605 |    2685477 |    2227238 |    2779077 |    2721683 |    2658840 |    2533130 |    2707398 |    2634748 |    2622710 |    2776089 |    2772755 |    2507327 |    2389554 |    2364227 |    2616362
    num cache misses                 |      18110 |      21291 |      17253 |      22144 |      21708 |      20933 |      19728 |      21748 |      20461 |      20438 |      21977 |      21541 |      19362 |      18075 |      17874 |      20494
    miss rate                        |      0.77% |      0.79% |      0.77% |      0.80% |      0.80% |      0.79% |      0.78% |      0.80% |      0.78% |      0.78% |      0.79% |      0.78% |      0.77% |      0.76% |      0.76% |      0.78%
    mpki                             |       3.91 |       4.01 |       3.93 |       4.03 |       4.03 |       3.98 |       3.94 |       4.06 |       3.93 |       3.94 |       4.00 |       3.93 |       3.91 |       3.83 |       3.83 |       3.96
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19489 |      22381 |      18350 |      23243 |      22771 |      22006 |      20809 |      22859 |      21807 |      21510 |      22969 |      22640 |      20447 |      19156 |      18950 |      21609
    num cache misses                 |      18129 |      21309 |      17269 |      22161 |      21725 |      20950 |      19747 |      21765 |      20478 |      20454 |      21994 |      21558 |      19381 |      18093 |      17891 |      20515
    miss rate                        |     93.02% |     95.21% |     94.11% |     95.34% |     95.41% |     95.20% |     94.90% |     95.21% |     93.91% |     95.09% |     95.76% |     95.22% |     94.79% |     94.45% |     94.41% |     94.94%
    mpki                             |       3.92 |       4.01 |       3.93 |       4.03 |       4.04 |       3.99 |       3.95 |       4.07 |       3.93 |       3.95 |       4.01 |       3.93 |       3.91 |       3.84 |       3.83 |       3.97
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19489 |      22381 |      18350 |      23243 |      22771 |      22006 |      20809 |      22859 |      21807 |      21510 |      22969 |      22640 |      20447 |      19156 |      18950 |      21609
    num cache misses                 |      10654 |      12486 |       9415 |      12570 |      12016 |      11600 |      10836 |      12573 |      12401 |      11801 |      12602 |      12249 |      10494 |       9659 |       9527 |      11661
    miss rate                        |     54.67% |     55.79% |     51.31% |     54.08% |     52.77% |     52.71% |     52.07% |     55.00% |     56.87% |     54.86% |     54.87% |     54.10% |     51.32% |     50.42% |     50.27% |     53.96%
    mpki                             |       2.30 |       2.35 |       2.14 |       2.29 |       2.23 |       2.21 |       2.17 |       2.35 |       2.38 |       2.28 |       2.30 |       2.23 |       2.12 |       2.05 |       2.04 |       2.26
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     222.50 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     169.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          4 |          4 |          3 |          3 |          3 |          3 |          3 |          5 |          3 |          3 |          3 |          3 |          3 |          3 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       6330 |       7462 |       5728 |       7776 |       7609 |       7221 |       6853 |       7752 |       7357 |       6959 |       7477 |       7430 |       6326 |       5959 |       5825 |       7008
