                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     100206 |     107759 |      92296 |      93057
  Cycles                             |     374380 |     374380 |     374380 |     374380
  IPC                                |       0.27 |       0.29 |       0.25 |       0.25
  Time (ns)                          |     140745 |     140745 |     140745 |     140745
  Idle time (ns)                     |     104876 |      98666 |     110534 |     109665
  Idle time (%)                      |      74.5% |      70.1% |      78.5% |      77.9%
Branch predictor stats               |            |            |            |           
  num correct                        |       9430 |      10683 |       8152 |       8266
  num incorrect                      |        111 |        121 |         75 |         88
  misprediction rate                 |      1.16% |      1.12% |      0.91% |      1.05%
  mpki                               |       1.11 |       1.12 |       0.81 |       0.95
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      25072 |      27599 |      22448 |      22702
    num cache misses                 |         16 |         16 |         16 |         16
    miss rate                        |      0.06% |      0.06% |      0.07% |      0.07%
    mpki                             |       0.16 |       0.15 |       0.17 |       0.17
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      59633 |      63418 |      55689 |      56070
    num cache misses                 |       6460 |       6563 |       5111 |       5073
    miss rate                        |     10.83% |     10.35% |      9.18% |      9.05%
    mpki                             |      64.47 |      60.90 |      55.38 |      54.51
  Cache L2                           |            |            |            |           
    num cache accesses               |       6611 |       6739 |       5220 |       5221
    num cache misses                 |         18 |          7 |         14 |          8
    miss rate                        |      0.27% |      0.10% |      0.27% |      0.15%
    mpki                             |       0.18 |       0.06 |       0.15 |       0.09
  Cache L3                           |            |            |            |           
    num cache accesses               |         19 |         10 |         18 |         11
    num cache misses                 |         18 |          7 |         14 |          8
    miss rate                        |     94.74% |     70.00% |     77.78% |     72.73%
    mpki                             |       0.18 |       0.06 |       0.15 |       0.09
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     121.08 |        inf |        inf |        inf
  average dram queueing delay        |      67.65 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          4 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
