                                     | Core 0     | Core 1    
  Instructions                       |      98976 |      98926
  Cycles                             |     668924 |     668924
  IPC                                |       0.15 |       0.15
  Time (ns)                          |     251475 |     251475
  Idle time (ns)                     |     224583 |     224109
  Idle time (%)                      |      89.3% |      89.1%
Branch predictor stats               |            |           
  num correct                        |      10814 |      10794
  num incorrect                      |        535 |        550
  misprediction rate                 |      4.71% |      4.85%
  mpki                               |       5.41 |       5.56
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      17801 |      17796
    num cache misses                 |         24 |         26
    miss rate                        |      0.13% |      0.15%
    mpki                             |       0.24 |       0.26
  Cache L1-D                         |            |           
    num cache accesses               |      52689 |      52673
    num cache misses                 |       1741 |       1681
    miss rate                        |      3.30% |      3.19%
    mpki                             |      17.59 |      16.99
  Cache L2                           |            |           
    num cache accesses               |       2410 |       2415
    num cache misses                 |         22 |         27
    miss rate                        |      0.91% |      1.12%
    mpki                             |       0.22 |       0.27
  Cache L3                           |            |           
    num cache accesses               |         24 |         30
    num cache misses                 |         22 |         27
    miss rate                        |     91.67% |     90.00%
    mpki                             |       0.22 |       0.27
DRAM summary                         |            |           
  num dram accesses                  |         46 |          0
  average dram access latency (ns)   |     113.20 |        inf
  average dram queueing delay        |      59.77 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          8
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
