                                     | Core 0     | Core 1    
  Instructions                       |     374883 |     384540
  Cycles                             |     762275 |     762275
  IPC                                |       0.49 |       0.50
  Time (ns)                          |     286570 |     286570
  Idle time (ns)                     |     100866 |      97776
  Idle time (%)                      |      35.2% |      34.1%
Branch predictor stats               |            |           
  num correct                        |      44449 |      46083
  num incorrect                      |        372 |        348
  misprediction rate                 |      0.83% |      0.75%
  mpki                               |       0.99 |       0.90
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      95632 |      98856
    num cache misses                 |         16 |         16
    miss rate                        |      0.02% |      0.02%
    mpki                             |       0.04 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     219473 |     224310
    num cache misses                 |       4651 |       4494
    miss rate                        |      2.12% |      2.00%
    mpki                             |      12.41 |      11.69
  Cache L2                           |            |           
    num cache accesses               |       4698 |       4702
    num cache misses                 |         17 |         19
    miss rate                        |      0.36% |      0.40%
    mpki                             |       0.05 |       0.05
  Cache L3                           |            |           
    num cache accesses               |         18 |         23
    num cache misses                 |         17 |         19
    miss rate                        |     94.44% |     82.61%
    mpki                             |       0.05 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     100.43 |        inf
  average dram queueing delay        |      47.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
