                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1405655 |    1405823 |    1405135 |    1405303 |    1405249 |    1404234 |    1405068 |    1404985 |    1405830 |    1405128 |    1404498 |    1405256 |    1405404 |    1405212 |    1405214 |    1405197
  Cycles                             |  102053694 |  102053694 |  102053694 |  102053694 |  102053694 |  102053694 |  102053694 |  102053694 |  102053694 |  102053694 |  102053694 |  102053694 |  102053694 |  102053694 |  102053694 |  102053694
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38366051 |   38366051 |   38366051 |   38366051 |   38366051 |   38366051 |   38366051 |   38366051 |   38366051 |   38366051 |   38366051 |   38366051 |   38366051 |   38366051 |   38366051 |   38366051
  Idle time (ns)                     |   36937731 |   36938784 |   36939583 |   36936534 |   36938113 |   36941581 |   36937711 |   36938911 |   36947189 |   36951450 |   36953608 |   36950042 |   36949660 |   36946790 |   36948988 |   36948011
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     110510 |     110492 |     110402 |     110496 |     110439 |     110347 |     110412 |     110427 |     110516 |     110453 |     110336 |     110485 |     110603 |     110433 |     110495 |     110461
  num incorrect                      |        853 |        884 |        882 |        836 |        876 |        829 |        879 |        855 |        871 |        840 |        870 |        819 |        842 |        873 |        823 |        858
  misprediction rate                 |      0.77% |      0.79% |      0.79% |      0.75% |      0.79% |      0.75% |      0.79% |      0.77% |      0.78% |      0.75% |      0.78% |      0.74% |      0.76% |      0.78% |      0.74% |      0.77%
  mpki                               |       0.61 |       0.63 |       0.63 |       0.59 |       0.62 |       0.59 |       0.63 |       0.61 |       0.62 |       0.60 |       0.62 |       0.58 |       0.60 |       0.62 |       0.59 |       0.61
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      19948 |      19988 |      19965 |      19893 |      19925 |      19907 |      19916 |      19911 |      19955 |      19935 |      19926 |      19961 |      19824 |      19932 |      19901 |      19892
    num cache misses                 |         24 |         24 |         25 |         25 |         24 |         24 |         25 |         25 |         25 |         25 |         25 |         25 |         24 |         25 |         24 |         24
    miss rate                        |      0.12% |      0.12% |      0.13% |      0.13% |      0.12% |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.13% |      0.12% |      0.13% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     951990 |     952063 |     951859 |     951859 |     951857 |     951555 |     951804 |     951777 |     952047 |     951836 |     951651 |     951883 |     951745 |     951858 |     951831 |     951821
    num cache misses                 |       2967 |       3002 |       2875 |       2915 |       2893 |       2790 |       2865 |       2856 |       2817 |       2716 |       2603 |       2742 |       2787 |       2763 |       2728 |       2696
