                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      95488 |     114713 |     106706 |     106232 |      92291 |     107098 |      87781 |     104698
  Cycles                             |     693258 |     693258 |     693258 |     693258 |     693258 |     693258 |     693258 |     693258
  IPC                                |       0.14 |       0.17 |       0.15 |       0.15 |       0.13 |       0.15 |       0.13 |       0.15
  Time (ns)                          |     260623 |     260623 |     260623 |     260623 |     260623 |     260623 |     260623 |     260623
  Idle time (ns)                     |     132925 |     100528 |     119831 |     124808 |     142739 |     105156 |     165003 |     116723
  Idle time (%)                      |      51.0% |      38.6% |      46.0% |      47.9% |      54.8% |      40.3% |      63.3% |      44.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |       8621 |      11826 |      10478 |      10425 |       8085 |      10564 |       7348 |      10151
  num incorrect                      |        134 |        137 |        151 |        125 |        141 |        125 |        129 |        144
  misprediction rate                 |      1.53% |      1.15% |      1.42% |      1.18% |      1.71% |      1.17% |      1.73% |      1.40%
  mpki                               |       1.40 |       1.19 |       1.42 |       1.18 |       1.53 |       1.17 |       1.47 |       1.38
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      23500 |      29917 |      27251 |      27094 |      22446 |      27371 |      20950 |      26582
    num cache misses                 |         16 |         16 |         17 |         16 |         16 |         17 |         16 |         16
    miss rate                        |      0.07% |      0.05% |      0.06% |      0.06% |      0.07% |      0.06% |      0.08% |      0.06%
    mpki                             |       0.17 |       0.14 |       0.16 |       0.15 |       0.17 |       0.16 |       0.18 |       0.15
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      57275 |      66895 |      62892 |      62658 |      55686 |      63073 |      53433 |      61890
    num cache misses                 |       7157 |       7508 |       7224 |       7274 |       5663 |       7324 |       4843 |       7065
    miss rate                        |     12.50% |     11.22% |     11.49% |     11.61% |     10.17% |     11.61% |      9.06% |     11.42%
    mpki                             |      74.95 |      65.45 |      67.70 |      68.47 |      61.36 |      68.39 |      55.17 |      67.48
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       7345 |       7640 |       7383 |       7433 |       5901 |       7577 |       5022 |       7283
    num cache misses                 |       4128 |       4307 |       3733 |       3544 |       3582 |       4800 |       2785 |       4257
    miss rate                        |     56.20% |     56.37% |     50.56% |     47.68% |     60.70% |     63.35% |     55.46% |     58.45%
    mpki                             |      43.23 |      37.55 |      34.98 |      33.36 |      38.81 |      44.82 |      31.73 |      40.66
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4209 |       4379 |       3808 |       3647 |       3746 |       4999 |       2883 |       4413
    num cache misses                 |         22 |          6 |          8 |          6 |         12 |          6 |          6 |          6
    miss rate                        |      0.52% |      0.14% |      0.21% |      0.16% |      0.32% |      0.12% |      0.21% |      0.14%
    mpki                             |       0.23 |       0.05 |       0.07 |       0.06 |       0.13 |       0.06 |       0.07 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     160.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     106.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          5 |          4 |          4 |          7 |          4 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
