                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1028537 |    1388752 |    1388483 |    1239638
  Cycles                             |    1169550 |    1169550 |    1169550 |    1169550
  IPC                                |       0.88 |       1.19 |       1.19 |       1.06
  Time (ns)                          |     439681 |     439681 |     439681 |     439681
  Idle time (ns)                     |     168397 |      99849 |      99391 |     126667
  Idle time (%)                      |      38.3% |      22.7% |      22.6% |      28.8%
Branch predictor stats               |            |            |            |           
  num correct                        |     223249 |     313258 |     313203 |     275983
  num incorrect                      |        624 |        660 |        652 |        668
  misprediction rate                 |      0.28% |      0.21% |      0.21% |      0.24%
  mpki                               |       0.61 |       0.48 |       0.47 |       0.54
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     450706 |     630770 |     630646 |     556255
    num cache misses                 |         16 |         16 |         15 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     545785 |     725889 |     725754 |     651340
    num cache misses                 |       4766 |       6458 |       6466 |       5561
    miss rate                        |      0.87% |      0.89% |      0.89% |      0.85%
    mpki                             |       4.63 |       4.65 |       4.66 |       4.49
  Cache L2                           |            |            |            |           
    num cache accesses               |       6067 |       7417 |       7415 |       6592
    num cache misses                 |         18 |          8 |         10 |          5
    miss rate                        |      0.30% |      0.11% |      0.13% |      0.08%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         19 |         11 |         14 |          8
    num cache misses                 |         18 |          8 |         10 |          5
    miss rate                        |     94.74% |     72.73% |     71.43% |     62.50%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     112.84 |        inf |        inf |        inf
  average dram queueing delay        |      59.41 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          4 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
