                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3046832 |    3497372 |    3370384 |    2805635 |    2968972 |    3421313 |    3481715 |    3528258
  Cycles                             |    2489988 |    2489988 |    2489988 |    2489988 |    2489988 |    2489988 |    2489988 |    2489988
  IPC                                |       1.22 |       1.40 |       1.35 |       1.13 |       1.19 |       1.37 |       1.40 |       1.42
  Time (ns)                          |     936086 |     936086 |     936086 |     936086 |     936086 |     936086 |     936086 |     936086
  Idle time (ns)                     |     130060 |     103085 |     137142 |     252489 |     217073 |     106895 |      99646 |     102466
  Idle time (%)                      |      13.9% |      11.0% |      14.7% |      27.0% |      23.2% |      11.4% |      10.6% |      10.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     728034 |     840514 |     808874 |     667690 |     708582 |     821472 |     836714 |     848322
  num incorrect                      |        659 |        816 |        708 |        707 |        651 |        830 |        710 |        737
  misprediction rate                 |      0.09% |      0.10% |      0.09% |      0.11% |      0.09% |      0.10% |      0.08% |      0.09%
  mpki                               |       0.22 |       0.23 |       0.21 |       0.25 |       0.22 |       0.24 |       0.20 |       0.21
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1460344 |    1685588 |    1622125 |    1339741 |    1421417 |    1647512 |    1677794 |    1701066
    num cache misses                 |         15 |         16 |         16 |         16 |         16 |         16 |         15 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1555426 |    1780711 |    1717205 |    1434836 |    1516506 |    1742664 |    1772883 |    1796158
    num cache misses                 |      11285 |      11292 |      11254 |       9354 |       8665 |      10217 |      10281 |       9836
    miss rate                        |      0.73% |      0.63% |      0.66% |      0.65% |      0.57% |      0.59% |      0.58% |      0.55%
    mpki                             |       3.70 |       3.23 |       3.34 |       3.33 |       2.92 |       2.99 |       2.95 |       2.79
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      12702 |      12284 |      12090 |      10333 |       9814 |      11345 |      11346 |      10898
    num cache misses                 |       4445 |       1547 |       1024 |        950 |       1790 |       2248 |       1881 |       1268
    miss rate                        |     34.99% |     12.59% |      8.47% |      9.19% |     18.24% |     19.81% |     16.58% |     11.64%
    mpki                             |       1.46 |       0.44 |       0.30 |       0.34 |       0.60 |       0.66 |       0.54 |       0.36
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5444 |       2073 |       1567 |       1621 |       2463 |       3179 |       2835 |       2231
    num cache misses                 |         11 |          5 |         11 |         11 |         11 |         13 |          7 |          7
    miss rate                        |      0.20% |      0.24% |      0.70% |      0.68% |      0.45% |      0.41% |      0.25% |      0.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     156.87 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     103.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          2 |          5 |          5 |          3 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
