                                     | Core 0     | Core 1    
  Instructions                       |     116310 |     100628
  Cycles                             |     328505 |     328505
  IPC                                |       0.35 |       0.31
  Time (ns)                          |     123498 |     123498
  Idle time (ns)                     |      99133 |     102163
  Idle time (%)                      |      80.3% |      82.7%
Branch predictor stats               |            |           
  num correct                        |      16189 |      12281
  num incorrect                      |        139 |        135
  misprediction rate                 |      0.85% |      1.09%
  mpki                               |       1.20 |       1.34
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      35638 |      27817
    num cache misses                 |         13 |         16
    miss rate                        |      0.04% |      0.06%
    mpki                             |       0.11 |       0.16
  Cache L1-D                         |            |           
    num cache accesses               |      67684 |      59852
    num cache misses                 |       1660 |       1494
    miss rate                        |      2.45% |      2.50%
    mpki                             |      14.27 |      14.85
  Cache L2                           |            |           
    num cache accesses               |       2117 |       2122
    num cache misses                 |         19 |         19
    miss rate                        |      0.90% |      0.90%
    mpki                             |       0.16 |       0.19
  Cache L3                           |            |           
    num cache accesses               |         20 |         23
    num cache misses                 |         19 |         19
    miss rate                        |     95.00% |     82.61%
    mpki                             |       0.16 |       0.19
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      99.98 |        inf
  average dram queueing delay        |      48.33 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
