                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   41542705 |   42463468 |   42609321 |   43439431 |   38860655 |   36357163 |   40881314 |   40419801
  Cycles                             |   25176424 |   25176424 |   25176424 |   25176424 |   25176424 |   25176424 |   25176424 |   25176424
  IPC                                |       1.65 |       1.69 |       1.69 |       1.73 |       1.54 |       1.44 |       1.62 |       1.61
  Time (ns)                          |    9464821 |    9464821 |    9464821 |    9464821 |    9464821 |    9464821 |    9464821 |    9464821
  Idle time (ns)                     |     368573 |     264575 |     245863 |     100581 |    1008152 |    1480045 |     630670 |     723028
  Idle time (%)                      |       3.9% |       2.8% |       2.6% |       1.1% |      10.7% |      15.6% |       6.7% |       7.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10148523 |   10378805 |   10415207 |   10622868 |    9478120 |    8852344 |    9983184 |    9867860
  num incorrect                      |       1336 |       1275 |       1325 |       1191 |       1250 |       1157 |       1335 |       1291
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20302566 |   20763064 |   20835948 |   21250998 |   18961635 |   17709903 |   19971896 |   19741182
    num cache misses                 |         16 |         16 |         16 |         15 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21027813 |   21488231 |   21561144 |   21976201 |   19686812 |   18435071 |   20697129 |   20466386
    num cache misses                 |      14133 |      14091 |      14108 |      14146 |       8502 |       7933 |       8687 |       8480
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.06% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.34 |       0.33 |       0.33 |       0.33 |       0.22 |       0.22 |       0.21 |       0.21
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      15365 |      15079 |      15132 |      15023 |       9486 |       8945 |       9731 |       9468
    num cache misses                 |       5471 |       1623 |        744 |        422 |       1781 |       1499 |       1494 |       1256
    miss rate                        |     35.61% |     10.76% |      4.92% |      2.81% |     18.78% |     16.76% |     15.35% |     13.27%
    mpki                             |       0.13 |       0.04 |       0.02 |       0.01 |       0.05 |       0.04 |       0.04 |       0.03
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5971 |       2088 |       1222 |        810 |       2780 |       2538 |       2520 |       2252
    num cache misses                 |         17 |         12 |          9 |          6 |          6 |         11 |          7 |          7
    miss rate                        |      0.28% |      0.57% |      0.74% |      0.74% |      0.22% |      0.43% |      0.28% |      0.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     145.34 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      91.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          6 |          6 |          5 |          6 |          6 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
