                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    6584991 |    7176507 |    6817702 |    7289360
  Cycles                             |   13927104 |   13927104 |   13927104 |   13927104
  IPC                                |       0.47 |       0.52 |       0.49 |       0.52
  Time (ns)                          |    5235754 |    5235754 |    5235754 |    5235754
  Idle time (ns)                     |     452348 |     106277 |     303572 |      98359
  Idle time (%)                      |       8.6% |       2.0% |       5.8% |       1.9%
Branch predictor stats               |            |            |            |           
  num correct                        |     974438 |    1073001 |    1013180 |    1091759
  num incorrect                      |        401 |        424 |        444 |        475
  misprediction rate                 |      0.04% |      0.04% |      0.04% |      0.04%
  mpki                               |       0.06 |       0.06 |       0.07 |       0.07
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1955668 |    2152835 |    2033233 |    2190456
    num cache misses                 |         16 |         18 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3549527 |    3845278 |    3665876 |    3901706
    num cache misses                 |     857731 |     912978 |     872313 |     882240
    miss rate                        |     24.16% |     23.74% |     23.80% |     22.61%
    mpki                             |     130.26 |     127.22 |     127.95 |     121.03
  Cache L2                           |            |            |            |           
    num cache accesses               |     857817 |     913065 |     872426 |     882359
    num cache misses                 |          7 |         10 |          8 |         23
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |          8 |         13 |         11 |         25
    num cache misses                 |          7 |         10 |          8 |         23
    miss rate                        |     87.50% |     76.92% |     72.73% |     92.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         40 |          0 |          0 |          0
  average dram access latency (ns)   |     170.48 |        inf |        inf |        inf
  average dram queueing delay        |     117.05 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          1 |          5 |          3 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
